"variable","OR"
"(Intercept)","0.045 (0.044-0.045)"
"SexM","0.784 (0.781-0.787)"
"age_gp16-75","15.265 (15.127-15.403)"
"age_gp75+","8.221 (8.135-8.308)"
"ur6_2016_nameOther Urban Areas","1.497 (1.49-1.504)"
"ur6_2016_nameAccessible Small Towns","1.492 (1.482-1.503)"
"ur6_2016_nameRemote Small Towns","1.492 (1.478-1.506)"
"ur6_2016_nameAccessible Rural","1.516 (1.505-1.527)"
"ur6_2016_nameRemote Rural","1.42 (1.407-1.433)"
"simd2020_sc_quintile2","1.342 (1.334-1.349)"
"simd2020_sc_quintile3","1.633 (1.623-1.642)"
"simd2020_sc_quintile4","2.068 (2.055-2.08)"
"simd2020_sc_quintile5","2.384 (2.37-2.398)"
"n_risk_gps1","2.732 (2.719-2.745)"
"n_risk_gps2","4.554 (4.516-4.592)"
"n_risk_gps3-4","5.39 (5.326-5.454)"
"n_risk_gps5+","4.406 (4.285-4.53)"
