"variable","coef"
"(Intercept)",-4.72479922689283
"SexM",-0.331593283950108
"age_gp_218-24",3.68262071285285
"age_gp_225-29",3.77954654271111
"age_gp_230-34",3.84142065585619
"age_gp_235-39",4.09061345478413
"age_gp_240-44",4.38205431294708
"age_gp_245-49",4.67169208032038
"age_gp_250-54",5.06535877849598
"age_gp_255-59",5.39400480918245
"age_gp_260-64",5.62720495349852
"age_gp_265-69",5.74268858542932
"age_gp_270-74",5.74136202827779
"ur6_2016_nameOther Urban Areas",0.40899490086552
"ur6_2016_nameAccessible Small Towns",0.383479096576585
"ur6_2016_nameRemote Small Towns",0.379167159151532
"ur6_2016_nameAccessible Rural",0.380035851254906
"ur6_2016_nameRemote Rural",0.317987916643542
"simd2020_sc_quintile2",0.304830573930209
"simd2020_sc_quintile3",0.504377630169386
"simd2020_sc_quintile4",0.764066509567394
"simd2020_sc_quintile5",0.901596927776396
"n_risk_gps1",0.655459097854595
"n_risk_gps2",0.857796544191665
"n_risk_gps3-4",0.967280866309091
"n_risk_gps5+",0.898924831373919
