"Variable","Levels","Odds ratio"
"Sex","F","Ref"
"","M","0.98 (0.96, 1)"
"Age group","5-11","Ref"
"","12-15","32.71 (31.55, 33.92)"
"Urban rural classification","Other Urban Areas","1.2 (1.17, 1.23)"
"","Accessible Rural","1.14 (1.1, 1.18)"
"","Large Urban Areas","Ref"
"","Remote Small Towns","1.19 (1.14, 1.25)"
"","Remote Rural","1.15 (1.09, 1.2)"
"","Accessible Small Towns","1.17 (1.14, 1.22)"
"Socioeconomic status","2","1.29 (1.25, 1.33)"
"","5","2.34 (2.27, 2.41)"
"","4","1.9 (1.84, 1.96)"
"","1","Ref"
"","3","1.58 (1.53, 1.64)"
"Number of risk groups","0","Ref"
"","1","1.74 (1.69, 1.79)"
"","2","2.91 (2.65, 3.21)"
"","3-4","8.88 (5.84, 13.52)"
"","5+","0.02 (0, 4.99605131400674e+35)"
